"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-07112019-007195";"";
"REFERENCE";"48258-0001";"";
"rs_stock_number";"1788766";"";
"TraceParts.PartTitle";"48258 Series Number Right Angle Panel Mount, Version 2.0 Type A USB Connector, Receptacle";"";
"SUPPLIER_NAME";"RS Components";"";
"Buy_Now";"https://uk.rs-online.com/web/p/products/1788766?cm_mmc=en-ds-_-mcad-_-traceparts-_-1788766'";"";
"SUPPLIER";"Molex";"";
"DESIGN";"48258 Series Number Right Angle Panel Mount, Version 2.0 Type A USB Connector, Receptacle";"";
"TraceParts.InstanceId";"10-07112019-007195AMDXTDRMKGLK8DMNEVDH1IQO7";"";
"TraceParts.PartVersion";"1.0.5";"";
"TraceParts.PartLanguage";"en";"";
